ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  170000         0.0000         0.0000         0.0000         0.0000          -5688.3467       450.6989         0.0000         0.0000       931.5317          -4306.1162       295.9394     -5237.6479     -4304.5870       294.2994            793.7063       815.4566     22395.4768      -204.3109      -204.4580
ENERGY:  175000         0.0000         0.0000         0.0000         0.0000          -5590.5193       364.0496         0.0000         0.0000       941.5928          -4284.8768       299.1358     -5226.4696     -4283.7363       302.2784           -542.7895      -532.6501     22512.7955      -243.9571      -243.9519
ENERGY:  180000         0.0000         0.0000         0.0000         0.0000          -5508.4625       332.2627         0.0000         0.0000       967.8693          -4208.3305       307.4836     -5176.1998     -4204.9681       301.3099           -615.4130      -592.0219     22739.9805      -159.8864      -159.7583
ENERGY:  185000         0.0000         0.0000         0.0000         0.0000          -5602.3203       387.5509         0.0000         0.0000       945.3624          -4269.4071       300.3333     -5214.7694     -4266.7381       298.8862           -363.3737      -331.4506     22883.4249      -215.8216      -215.7366
ENERGY:  190000         0.0000         0.0000         0.0000         0.0000          -5626.3772       366.5033         0.0000         0.0000       949.5147          -4310.3593       301.6525     -5259.8739     -4307.4282       296.0262           -579.0808      -552.6853     22541.7765      -283.0689      -283.2061
ENERGY:  195000         0.0000         0.0000         0.0000         0.0000          -5547.7455       357.7616         0.0000         0.0000       906.1333          -4283.8506       287.8706     -5189.9839     -4282.1958       295.2476           -414.5185      -407.0581     22817.8541      -218.4098      -218.3429
ENERGY:  200000         0.0000         0.0000         0.0000         0.0000          -5558.5288       348.9435         0.0000         0.0000       907.9602          -4301.6252       288.4510     -5209.5853     -4300.8740       295.2878           -713.7677      -701.3801     22686.2847      -216.0913      -215.9523
ENERGY:  205000         0.0000         0.0000         0.0000         0.0000          -5643.1391       404.6464         0.0000         0.0000       957.8563          -4280.6363       304.3025     -5238.4927     -4278.4995       296.6535           -270.9041      -262.1660     22744.4305      -251.4528      -251.2146
ENERGY:  210000         0.0000         0.0000         0.0000         0.0000          -5579.9533       419.3013         0.0000         0.0000       911.0218          -4249.6302       289.4236     -5160.6520     -4248.3802       301.7654            -37.1388       -22.8246     22925.5466      -186.5129      -186.5041
ENERGY:  215000         0.0000         0.0000         0.0000         0.0000          -5599.3150       378.6600         0.0000         0.0000       950.2102          -4270.4448       301.8734     -5220.6550     -4268.6288       298.4063           -647.6767      -637.9062     22643.7732      -216.7423      -216.6989
ENERGY:  220000         0.0000         0.0000         0.0000         0.0000          -5601.9838       384.4362         0.0000         0.0000       946.3010          -4271.2466       300.6315     -5217.5476     -4268.3990       298.7522           -713.0090      -688.1306     22913.1590      -211.9425      -212.0144
ENERGY:  225000         0.0000         0.0000         0.0000         0.0000          -5548.7511       369.1501         0.0000         0.0000       976.3854          -4203.2157       310.1891     -5179.6011     -4201.0540       302.7994           -352.0408      -321.7545     22764.6280      -225.8548      -225.8645
ENERGY:  230000         0.0000         0.0000         0.0000         0.0000          -5629.6799       388.2701         0.0000         0.0000       945.0469          -4296.3630       300.2331     -5241.4099     -4293.6273       299.3694            -75.2249       -54.6844     22400.2882      -216.3502      -216.4829
ENERGY:  235000         0.0000         0.0000         0.0000         0.0000          -5518.9541       360.8048         0.0000         0.0000       961.2592          -4196.8901       305.3836     -5158.1493     -4193.7683       302.1641           -686.7022      -649.5943     22912.3472      -226.8736      -226.7531
ENERGY:  240000         0.0000         0.0000         0.0000         0.0000          -5551.6945       397.8998         0.0000         0.0000       903.1856          -4250.6092       286.9341     -5153.7947     -4248.5587       303.9959           -225.3836      -200.4786     23099.2901      -277.2579      -277.2764
ENERGY:  245000         0.0000         0.0000         0.0000         0.0000          -5563.0179       378.6088         0.0000         0.0000       930.9215          -4253.4876       295.7456     -5184.4091     -4251.1808       298.6328           -776.5754      -763.7189     23155.5199      -172.0500      -171.9605
ENERGY:  250000         0.0000         0.0000         0.0000         0.0000          -5629.0331       398.3474         0.0000         0.0000       958.8335          -4271.8522       304.6130     -5230.6857     -4269.1045       302.3896             -8.8234        19.7634     22433.0062      -239.4352      -239.4413
ENERGY:  255000         0.0000         0.0000         0.0000         0.0000          -5620.5332       390.4433         0.0000         0.0000       931.2503          -4298.8395       295.8501     -5230.0899     -4297.9659       297.7979           -335.8523      -330.4526     22737.7725      -284.8627      -285.0820
